TYPE,CONTENT,DESCRIPTION,PRIORITY,INDENT,AUTHOR,RESPONSIBLE,DATE,DATE_LANG,TIMEZONE,DURATION,DURATION_UNIT,DEADLINE,DEADLINE_LANG
task,Taller de Cumpleanos,,4,1,,,2026-06-27 20:00,en,America/Mexico_City,,,,
task,Inicio Taller de Nahual,,4,1,,,2026-06-12 20:00,en,America/Mexico_City,,,,
task,Taller de Joyeria,,4,1,,,2026-06-11 20:00,en,America/Mexico_City,,,,
task,Taller de Joyeria,,4,1,,,2026-06-11 20:00,en,America/Mexico_City,,,,
task,Taller de Joyeria,,4,1,,,2026-06-18 20:00,en,America/Mexico_City,,,,
task,Taller de Joyeria,,4,1,,,2026-06-18 20:00,en,America/Mexico_City,,,,
task,Taller de Joyeria,,4,1,,,2026-06-25 20:00,en,America/Mexico_City,,,,
task,Taller de Joyeria,,4,1,,,2026-06-25 20:00,en,America/Mexico_City,,,,
task,Taller de Ceramica,,4,1,,,2026-06-23 20:00,en,America/Mexico_City,,,,
task,Taller de Ceramica,,4,1,,,2026-06-26 20:00,en,America/Mexico_City,,,,
task,Taller de Tlacoyales,,4,1,,,2026-06-17 20:00,en,America/Mexico_City,,,,
task,Taller de Tlacoyales,,4,1,,,2026-06-24 20:00,en,America/Mexico_City,,,,
task,Taller de Bolsita de Lana,,4,1,,,2026-06-16 20:00,en,America/Mexico_City,,,,
task,Taller de Bolsita de Lana,,4,1,,,2026-06-16 20:00,en,America/Mexico_City,,,,
task,Taller de Bolsita de Lana,,4,1,,,2026-06-23 20:00,en,America/Mexico_City,,,,
task,Taller de Bolsita de Lana,,4,1,,,2026-06-23 20:00,en,America/Mexico_City,,,,
